imdb_id,status
tt35609846,Cancelled
tt32307068,Cancelled
tt35704111,Cancelled
tt31806045,Concluded
tt35510210,Concluded
tt26471411,Concluded
tt20917940,Cancelled
tt34569030,Concluded
tt35836959,Cancelled
tt30057076,Concluded
tt31092106,Concluded
tt34691842,Concluded
tt27505053,Concluded
tt15789898,Concluded
tt35257773,Cancelled
tt32491422,Cancelled
tt35630627,Cancelled
tt32510002,Concluded
tt35931863,Cancelled
tt31407116,Concluded
tt28088031,Cancelled
tt33522709,Cancelled
tt15716776,Cancelled
tt20672482,Cancelled
tt29921070,Cancelled
tt27740241,Cancelled
tt31186005,Concluded
tt36414438,Cancelled
tt33332486,Cancelled
tt33047061,Cancelled
tt36353565,Cancelled
tt32501190,Concluded
tt32249973,Concluded
tt30407364,Concluded
tt15515490,Concluded
tt32063523,Concluded
tt27995114,Concluded
tt30826447,Concluded
tt32082636,Concluded
tt35630224,Concluded
tt36279637,Concluded
tt33098081,Concluded
tt32485985,Concluded
tt27554348,Concluded
tt31909033,Concluded
tt32500304,Concluded
tt31656537,Concluded
tt33078939,Cancelled
tt35668657,Cancelled
tt36711188,Concluded
tt32764263,Cancelled
tt33028674,Cancelled
tt35804779,Concluded
tt29650530,Cancelled
tt31216548,Cancelled
tt28243363,Cancelled
tt36381243,Cancelled
tt33029688,Cancelled
tt36852036,Cancelled
tt37026681,Cancelled
tt33989829,Cancelled
tt6340304,Concluded
tt27898511,Concluded
tt33269635,Cancelled
tt32213668,Cancelled
tt32581507,Cancelled
tt35323313,Cancelled
tt36517681,Concluded
tt26626214,Cancelled
tt31501513,Cancelled
tt31220187,Cancelled
tt37504309,Cancelled
tt37262365,Cancelled
tt37272805,Concluded
tt33047063,Concluded
tt35056033,Cancelled
tt37333650,Concluded
tt35668156,Concluded
tt32492739,Concluded
tt36255016,Cancelled
tt37438632,Concluded
tt37447597,Concluded
tt33247080,Cancelled
tt36955264,Concluded
tt35665851,Cancelled
tt35056033,Cancelled
tt35677317,Concluded
tt32376299,Concluded
tt35803134,Concluded
tt29614148,Cancelled
