"Origin","Genre","Year","Avg_Rating","Avg_Votes","Weighted_Rating"
"Netflix","Adventure","2015","6.22","8121","6.43"
"Netflix","Comedy","2015","6.55","13469","6.72"
"Netflix","Family","2015","6.3","2009","6.58"
"Netflix","Sci-Fi","2015","7.35","119438","7.32"
"Netflix","Horror","2024","6.11","16538","6.17"
"Disney","Crime","2023","5.6","24566","5.78"
"Netflix","Talk-Show","2021","5.67","427","6.24"
"Netflix","Action","2025","6.23","18819","6.34"
"Netflix","Drama","2025","6.34","10674","6.49"
"Netflix","Biography","2023","7.09","16036","6.98"
"Netflix","Animation","2025","6.61","8535","6.65"
"Netflix","Adventure","2025","6.24","17572","6.29"
"Netflix","Family","2025","6.54","10150","6.72"
"Netflix","Fantasy","2025","6.51","13575","6.5"
"Netflix","History","2025","7.07","4572","7.11"
"Netflix","Reality-TV","2023","6.04","1872","6.42"
"Netflix","Music","2025","6.52","5784","6.59"
"Netflix","Musical","2025","6.45","36513","6.57"
"Disney","Horror","2022","5.97","27451","6.27"
"Netflix","Western","2022","5.95","4245","6.26"
"Disney","Music","2022","6.85","1444","6.84"
"Netflix","Sport","2023","7","6707","7.03"
"Netflix","Game-Show","2021","6.24","1073","6.51"
"Netflix","Reality-TV","2022","5.89","1178","6.23"
"Disney","Talk-Show","2021","6.7","102","6.53"
"Netflix","Mystery","2018","6.57","63332","6.63"
"Netflix","Sci-Fi","2018","6.56","56160","6.62"
"Netflix","Thriller","2018","6.56","48880","6.59"
"Disney","Animation","2023","6.05","1063","6.25"
"Disney","Short","2023","6.93","363","6.62"
"Netflix","Sport","2025","6.53","7445","6.49"
"Netflix","Short","2023","6.31","9244","6.44"
"Netflix","Music","2023","6.75","6200","6.72"
"Disney","Music","2021","8.1","17606","7.93"
"Netflix","Game-Show","2022","6.36","1220","6.5"
"Netflix","War","2023","7.06","15699","7"
"Netflix","Action","2016","6.77","35242","6.83"
"Netflix","Crime","2016","7.05","47976","7.01"
"Netflix","Music","2024","6.88","3846","6.77"
"Netflix","Romance","2025","6.18","5774","6.38"
"Disney","Musical","2023","6.52","521","6.58"
"Disney","Comedy","2023","5.95","2715","6.32"
"Disney","Comedy","2024","7.2","82290","7.19"
"Netflix","Documentary","2025","6.61","2277","6.58"
"Netflix","Action","2009","6.4","443","6.48"
"Netflix","Drama","2009","7.1","3932","7.06"
"Netflix","Musical","2023","5.6","48590","5.62"
"Disney","Music","2023","7.41","1093","7.03"
"Disney","Drama","2025","7.8","46709","7.76"
"Netflix","Crime","2011","8.2","221877","8.11"
"Netflix","Drama","2011","8.47","295239","8.45"
"Netflix","Mystery","2011","8.5","419909","8.49"
"Netflix","Thriller","2011","8.47","295239","8.45"
"Netflix","Drama","2016","7.04","76030","6.99"
"Netflix","Romance","2016","6.94","12672","6.91"
"Netflix","Musical","2018","6.78","22045","6.86"
"Netflix","Biography","2018","6.98","13241","6.91"
"Amazon","Documentary","2016","7.8","11486","7.61"
"Amazon","Music","2016","7.2","6864","7.11"
"Disney","Romance","2023","6.4","3599","6.42"
"Netflix","Animation","2016","6.84","3219","6.79"
"Netflix","Adventure","2016","6.92","17081","6.88"
"Netflix","Fantasy","2016","7.28","148813","7.21"
"Netflix","Sci-Fi","2016","7.16","147347","7.26"
"Amazon","Drama","2015","7.45","40254","7.39"
"Amazon","Sci-Fi","2015","7.27","102305","7.37"
"Amazon","Thriller","2015","8.05","69445","8"
"Netflix","Animation","2009","7.8","7421","7.65"
"Netflix","Comedy","2009","7.8","7421","7.65"
"Netflix","Romance","2009","7.8","7421","7.65"
"Disney","Horror","2023","6.7","15546","6.69"
"Amazon","Biography","2019","6.5","29761","6.51"
"Amazon","History","2019","6.9","24502","6.87"
"Disney","Biography","2023","7.98","5362","7.6"
"Disney","History","2023","8.4","14692","8.28"
"Disney","War","2023","8.4","14692","8.28"
"Netflix","Family","2018","6.65","11944","6.74"
"Disney","Documentary","2023","7.32","982","6.85"
"Disney","Reality-TV","2023","7","514","6.68"
"Hulu","Action","2011","7.6","5715","7.44"
"Hulu","Crime","2011","7.6","5715","7.44"
"Hulu","Drama","2011","7.6","5715","7.44"
"Hulu","Thriller","2011","7.6","5715","7.44"
"Hulu","Short","2011","7.2","103","6.57"
"Hulu","Talk-Show","2011","7.2","103","6.57"
"Netflix","Action","2012","8.3","42625","8.26"
"Netflix","Crime","2012","8.1","38219","8.06"
"Netflix","Drama","2012","7.35","20044","7.34"
"Netflix","Western","2012","8.3","42625","8.26"
"Netflix","Drama","2013","7.87","308714","7.86"
"Netflix","Thriller","2013","7.8","297379","7.79"
"Netflix","Western","2019","6.9","110919","6.9"
"Netflix","Animation","2011","7.05","1037","6.82"
"Netflix","Adventure","2011","7.05","1037","6.82"
"Netflix","Comedy","2011","7.05","1037","6.82"
"Netflix","Family","2011","6.7","282","6.55"
"Netflix","Fantasy","2011","6.7","282","6.55"
"Netflix","Documentary","2017","7.05","5148","6.96"
"Disney","Crime","2025","8.1","77463","8.08"
"Disney","Thriller","2025","8.1","77463","8.08"
"Netflix","Game-Show","2023","6.13","3292","6.47"
"Netflix","Talk-Show","2022","7.1","398","6.7"
"Netflix","Comedy","2012","7.95","23906","7.88"
"Amazon","Horror","2016","6.1","108743","6.1"
"Amazon","Thriller","2016","7.3","123085","7.29"
"Disney","History","2022","8.7","4037","8.26"
"Hulu","Documentary","2011","6","62","6.48"
"Netflix","Action","2011","7.4","1792","7.08"
"Netflix","Sci-Fi","2011","8.05","355476","7.89"
"Netflix","Sci-Fi","2025","6.13","15935","6.23"
"Netflix","Horror","2025","5.52","9286","5.8"
"Netflix","Western","2023","7.2","2747","7.02"
"Netflix","Documentary","2012","7.6","1733","7.2"
"Amazon","Crime","2012","8.1","23632","8.04"
"Amazon","Drama","2012","8.1","23632","8.04"
"Amazon","Mystery","2012","8.1","23632","8.04"
"Amazon","Thriller","2012","8.1","23632","8.04"
"Hulu","Comedy","2012","7.45","10905","7.17"
"Hulu","Drama","2012","7.6","361","6.8"
"Hulu","Biography","2012","6.6","176","6.52"
"Netflix","Action","2014","7.5","42728","7.41"
"Netflix","Adventure","2014","6.4","28614","6.9"
"Netflix","Drama","2014","7.45","76248","7.45"
"Netflix","History","2014","7.9","82695","7.88"
"Disney","Game-Show","2022","4.4","195","6.16"
"Hulu","History","2020","7.77","25638","7.64"
"Netflix","Action","2018","6.76","37887","6.78"
"Netflix","Adventure","2018","6.86","25026","6.86"
"Hulu","Animation","2012","7.3","92","6.58"
"Hulu","Family","2012","7.3","92","6.58"
"Amazon","Action","2013","7.4","312561","7.47"
"Amazon","Adventure","2013","8.5","624681","8.5"
"Amazon","Drama","2013","8","314840","7.92"
"Amazon","History","2013","8.5","624681","8.5"
"Amazon","Romance","2013","8.5","624681","8.5"
"Amazon","War","2013","8.5","624681","8.5"
"Netflix","Fantasy","2013","7.55","24159","7.4"
"Netflix","Horror","2013","7","43961","6.99"
"Netflix","Mystery","2013","7","43961","6.99"
"Netflix","Sci-Fi","2013","7.55","24159","7.4"
"Hulu","Drama","2013","6.9","903","6.69"
"Netflix","Family","2012","8","13999","7.9"
"Netflix","Talk-Show","2012","8","13999","7.9"
"Netflix","Crime","2015","7.94","276887","7.94"
"Netflix","Thriller","2015","7.76","217607","7.75"
"Netflix","Comedy","2013","6.97","57299","6.94"
"Netflix","Crime","2013","8","331385","8"
"Netflix","Game-Show","2024","6.71","942","6.62"
"Netflix","Reality-TV","2024","6.31","694","6.47"
"Netflix","Horror","2018","6.38","66258","6.39"
"Netflix","Fantasy","2018","6.74","27610","6.79"
"Amazon","Adventure","2021","5.9","18249","5.93"
"Amazon","Comedy","2021","5.9","18249","5.93"
"Amazon","Family","2021","5.9","18249","5.93"
"Amazon","Fantasy","2021","5.9","18249","5.93"
"Hulu","Talk-Show","2012","6.8","315","6.58"
"Amazon","Family","2019","6.9","12748","6.87"
"Netflix","Western","2025","6.27","28515","6.91"
"Netflix","Mystery","2015","6.93","60799","6.94"
"Netflix","War","2024","6.97","12505","6.84"
"Netflix","Western","2015","5.75","29919","5.75"
"Netflix","War","2017","6.92","21827","6.81"
"Hulu","Comedy","2013","6.98","3054","6.94"
"Hulu","Crime","2013","7.7","8195","7.57"
"Hulu","Thriller","2013","7.7","8195","7.57"
"Netflix","Biography","2015","8.05","136360","7.95"
"Netflix","Talk-Show","2023","6.9","180","6.54"
"Netflix","Short","2024","6.78","1007","6.68"
"Netflix","Western","2024","6.97","4788","6.89"
"Netflix","Reality-TV","2025","6.02","1013","6.44"
"Netflix",\N,"2024","6.8","156","6.55"
"Netflix",\N,"2023","4.4","28","6.45"
"Amazon","Comedy","2015","7.41","20677","7.3"
"Amazon","Crime","2015","7.13","22083","7.11"
"Hulu","Animation","2013","6.3","1175","6.51"
"Hulu","Action","2013","7.2","1703","6.94"
"Hulu","Drama","2016","7.16","20552","7.09"
"Hulu","Mystery","2016","7.8","61582","7.75"
"Hulu","Romance","2016","8.1","111833","8.09"
"Hulu","Sci-Fi","2016","6.97","38449","6.96"
"Hulu","Thriller","2016","7.1","31669","7.08"
"Hulu","Western","2013","7.6","1670","7.19"
"Hulu","Documentary","2013","7.4","200","6.66"
"Hulu","Sport","2013","7.4","200","6.66"
"HBO","Crime","2022","8.1","53803","8.07"
"HBO","Drama","2022","8.1","53803","8.07"
"HBO","Thriller","2022","8.1","53803","8.07"
"Netflix","Talk-Show","2024","6.16","7538","6.48"
"Netflix","Animation","2013","6.7","2586","6.7"
"Netflix","Action","2013","7.3","2619","7.15"
"Netflix","Adventure","2013","7.3","2619","7.15"
"Netflix","Family","2013","6.7","2586","6.7"
"Netflix","Sport","2013","6.5","880","6.5"
"Amazon","Comedy","2013","7.2","4019","7.07"
"Amazon","Family","2013","6.3","441","6.44"
